Individual ID,Species,Region,Island,Date Egg,Body Mass (g),n_eggs
N47A1,Adelie,Anvers,Biscoe,11/9/09,3725.0,3
N47A2,Adelie,Anvers,Biscoe,11/9/09,4725.0,2
N49A1,Adelie,Anvers,Biscoe,11/15/09,3075.0,3
N49A2,Adelie,Anvers,Biscoe,11/15/09,4250.0,3
N51A1,Adelie,Anvers,Biscoe,11/15/09,2925.0,2
N51A2,Adelie,Anvers,Biscoe,11/15/09,3550.0,1
N53A1,Adelie,Anvers,Biscoe,11/15/09,3750.0,3
N53A2,Adelie,Anvers,Biscoe,11/15/09,3900.0,2
N55A1,Adelie,Anvers,Biscoe,11/20/09,3175.0,2
N55A2,Adelie,Anvers,Biscoe,11/20/09,4775.0,2
N58A1,Adelie,Anvers,Biscoe,11/12/09,3825.0,3
N58A2,Adelie,Anvers,Biscoe,11/12/09,4600.0,1
N60A1,Adelie,Anvers,Biscoe,11/15/09,3200.0,2
N60A2,Adelie,Anvers,Biscoe,11/15/09,4275.0,1
N61A1,Adelie,Anvers,Biscoe,11/17/09,3900.0,1
N61A2,Adelie,Anvers,Biscoe,11/17/09,4075.0,2
N63A1,Adelie,Anvers,Torgersen,11/18/09,2900.0,3
N63A2,Adelie,Anvers,Torgersen,11/18/09,3775.0,3
N64A1,Adelie,Anvers,Torgersen,11/22/09,3350.0,1
N64A2,Adelie,Anvers,Torgersen,11/22/09,3325.0,2
N66A1,Adelie,Anvers,Torgersen,11/17/09,3150.0,2
N66A2,Adelie,Anvers,Torgersen,11/17/09,3500.0,1
N67A1,Adelie,Anvers,Torgersen,11/16/09,3450.0,1
N67A2,Adelie,Anvers,Torgersen,11/16/09,3875.0,3
N69A1,Adelie,Anvers,Torgersen,11/18/09,3050.0,2
N69A2,Adelie,Anvers,Torgersen,11/18/09,4000.0,3
N71A1,Adelie,Anvers,Torgersen,11/21/09,3275.0,2
N71A2,Adelie,Anvers,Torgersen,11/21/09,4300.0,3
N72A1,Adelie,Anvers,Torgersen,11/18/09,3050.0,1
N72A2,Adelie,Anvers,Torgersen,11/18/09,4000.0,2
N73A1,Adelie,Anvers,Torgersen,11/23/09,3325.0,1
N73A2,Adelie,Anvers,Torgersen,11/23/09,3500.0,3
N76A1,Adelie,Anvers,Dream,11/10/09,3500.0,1
N76A2,Adelie,Anvers,Dream,11/10/09,4475.0,3
N77A1,Adelie,Anvers,Dream,11/13/09,3425.0,1
N77A2,Adelie,Anvers,Dream,11/13/09,3900.0,2
N78A1,Adelie,Anvers,Dream,11/16/09,3175.0,2
N78A2,Adelie,Anvers,Dream,11/16/09,3975.0,1
N79A1,Adelie,Anvers,Dream,11/16/09,3400.0,2
N79A2,Adelie,Anvers,Dream,11/16/09,4250.0,2
N80A1,Adelie,Anvers,Dream,11/14/09,3400.0,1
N80A2,Adelie,Anvers,Dream,11/14/09,3475.0,3
N81A1,Adelie,Anvers,Dream,11/16/09,3050.0,2
N81A2,Adelie,Anvers,Dream,11/16/09,3725.0,3
N82A1,Adelie,Anvers,Dream,11/16/09,3000.0,1
N82A2,Adelie,Anvers,Dream,11/16/09,3650.0,1
N83A1,Adelie,Anvers,Dream,11/13/09,4250.0,2
N83A2,Adelie,Anvers,Dream,11/13/09,3475.0,2
N84A1,Adelie,Anvers,Dream,11/17/09,3450.0,3
N84A2,Adelie,Anvers,Dream,11/17/09,3750.0,3
N85A1,Adelie,Anvers,Dream,11/17/09,3700.0,1
N85A2,Adelie,Anvers,Dream,11/17/09,4000.0,3
N86A1,Chinstrap,Anvers,Dream,11/17/09,3675.0,3
N86A2,Chinstrap,Anvers,Dream,11/17/09,4450.0,2
N87A1,Chinstrap,Anvers,Dream,11/27/09,3400.0,2
N87A2,Chinstrap,Anvers,Dream,11/27/09,4300.0,2
N88A1,Chinstrap,Anvers,Dream,11/23/09,3250.0,3
N88A2,Chinstrap,Anvers,Dream,11/23/09,3675.0,1
N90A1,Chinstrap,Anvers,Dream,11/21/09,3325.0,3
N90A2,Chinstrap,Anvers,Dream,11/21/09,3950.0,3
N92A1,Chinstrap,Anvers,Dream,11/23/09,3600.0,1
N92A2,Chinstrap,Anvers,Dream,11/23/09,4050.0,1
N93A1,Chinstrap,Anvers,Dream,11/27/09,3350.0,1
N93A2,Chinstrap,Anvers,Dream,11/27/09,3450.0,1
