Individual ID,Species,Region,Island,Date Egg,Body Mass (g),n_eggs
N1A1,Adelie,Anvers,Torgersen,2007-11-11,3750.0,3
N1A2,Adelie,Anvers,Torgersen,2007-11-11,3800.0,2
N2A1,Adelie,Anvers,Torgersen,2007-11-16,3250.0,3
N3A1,Adelie,Anvers,Torgersen,2007-11-16,3450.0,1
N3A2,Adelie,Anvers,Torgersen,2007-11-16,3650.0,3
N4A1,Adelie,Anvers,Torgersen,2007-11-15,3625.0,2
N4A2,Adelie,Anvers,Torgersen,2007-11-15,4675.0,3
N5A1,Adelie,Anvers,Torgersen,2007-11-09,3475.0,3
N5A2,Adelie,Anvers,Torgersen,2007-11-09,4250.0,3
N6A1,Adelie,Anvers,Torgersen,2007-11-09,3300.0,2
N6A2,Adelie,Anvers,Torgersen,2007-11-09,3700.0,1
N7A1,Adelie,Anvers,Torgersen,2007-11-15,3200.0,1
N7A2,Adelie,Anvers,Torgersen,2007-11-15,3800.0,2
N8A1,Adelie,Anvers,Torgersen,2007-11-16,4400.0,1
N8A2,Adelie,Anvers,Torgersen,2007-11-16,3700.0,3
N9A1,Adelie,Anvers,Torgersen,2007-11-12,3450.0,1
N9A2,Adelie,Anvers,Torgersen,2007-11-12,4500.0,1
N10A1,Adelie,Anvers,Torgersen,2007-11-16,3325.0,2
N10A2,Adelie,Anvers,Torgersen,2007-11-16,4200.0,2
N11A1,Adelie,Anvers,Biscoe,2007-11-12,3400.0,1
N11A2,Adelie,Anvers,Biscoe,2007-11-12,3600.0,3
N12A1,Adelie,Anvers,Biscoe,2007-11-12,3800.0,2
N12A2,Adelie,Anvers,Biscoe,2007-11-12,3950.0,1
N13A1,Adelie,Anvers,Biscoe,2007-11-10,3800.0,2
N13A2,Adelie,Anvers,Biscoe,2007-11-10,3800.0,1
N17A1,Adelie,Anvers,Biscoe,2007-11-12,3550.0,3
N17A2,Adelie,Anvers,Biscoe,2007-11-12,3200.0,1
N18A1,Adelie,Anvers,Biscoe,2007-11-10,3150.0,1
N18A2,Adelie,Anvers,Biscoe,2007-11-10,3950.0,2
N21A1,Adelie,Anvers,Dream,2007-11-09,3250.0,2
N21A2,Adelie,Anvers,Dream,2007-11-09,3900.0,2
N22A1,Adelie,Anvers,Dream,2007-11-09,3300.0,2
N22A2,Adelie,Anvers,Dream,2007-11-09,3900.0,3
N23A1,Adelie,Anvers,Dream,2007-11-16,3325.0,3
N23A2,Adelie,Anvers,Dream,2007-11-16,4150.0,1
N24A1,Adelie,Anvers,Dream,2007-11-16,3950.0,3
N24A2,Adelie,Anvers,Dream,2007-11-16,3550.0,3
N25A1,Adelie,Anvers,Dream,2007-11-13,3300.0,1
N25A2,Adelie,Anvers,Dream,2007-11-13,4650.0,3
N26A1,Adelie,Anvers,Dream,2007-11-16,3150.0,1
N26A2,Adelie,Anvers,Dream,2007-11-16,3900.0,1
N27A1,Adelie,Anvers,Dream,2007-11-19,3100.0,3
N27A2,Adelie,Anvers,Dream,2007-11-19,4400.0,2
N28A1,Adelie,Anvers,Dream,2007-11-16,3000.0,1
N28A2,Adelie,Anvers,Dream,2007-11-16,4600.0,1
N29A1,Adelie,Anvers,Dream,2007-11-13,3425.0,3
N29A2,Adelie,Anvers,Dream,2007-11-13,2975.0,1
N30A1,Adelie,Anvers,Dream,2007-11-13,3450.0,1
N30A2,Adelie,Anvers,Dream,2007-11-13,4150.0,1
N61A1,Chinstrap,Anvers,Dream,2007-11-19,3500.0,1
N61A2,Chinstrap,Anvers,Dream,2007-11-19,3900.0,1
N62A1,Chinstrap,Anvers,Dream,2007-11-26,3650.0,1
N62A2,Chinstrap,Anvers,Dream,2007-11-26,3525.0,2
N64A1,Chinstrap,Anvers,Dream,2007-11-21,3725.0,2
N64A2,Chinstrap,Anvers,Dream,2007-11-21,3950.0,2
N66A1,Chinstrap,Anvers,Dream,2007-11-28,3250.0,2
N66A2,Chinstrap,Anvers,Dream,2007-11-28,3750.0,2
N67A1,Chinstrap,Anvers,Dream,2007-11-21,4150.0,1
N67A2,Chinstrap,Anvers,Dream,2007-11-21,3700.0,3
N68A1,Chinstrap,Anvers,Dream,2007-11-28,3800.0,2
N68A2,Chinstrap,Anvers,Dream,2007-11-28,3775.0,1
N69A1,Chinstrap,Anvers,Dream,2007-11-26,3700.0,3
N69A2,Chinstrap,Anvers,Dream,2007-11-26,4050.0,2
N70A1,Chinstrap,Anvers,Dream,2007-11-22,3575.0,3
N70A2,Chinstrap,Anvers,Dream,2007-11-22,4050.0,2
N71A1,Chinstrap,Anvers,Dream,2007-11-30,3300.0,2
N71A2,Chinstrap,Anvers,Dream,2007-11-30,3700.0,3
N72A1,Chinstrap,Anvers,Dream,2007-11-30,3450.0,2
N72A2,Chinstrap,Anvers,Dream,2007-11-30,4400.0,3
N73A1,Chinstrap,Anvers,Dream,2007-12-03,3600.0,3
N73A2,Chinstrap,Anvers,Dream,2007-12-03,3400.0,3
N85A1,Chinstrap,Anvers,Dream,2007-11-28,2900.0,1
N85A2,Chinstrap,Anvers,Dream,2007-11-28,3800.0,2
N89A1,Chinstrap,Anvers,Dream,2007-11-28,3300.0,1
N89A2,Chinstrap,Anvers,Dream,2007-11-28,4150.0,3
N31A1,Gentoo,Anvers,Biscoe,2007-11-27,4500.0,2
N31A2,Gentoo,Anvers,Biscoe,2007-11-27,5700.0,3
N32A1,Gentoo,Anvers,Biscoe,2007-11-27,4450.0,3
N32A2,Gentoo,Anvers,Biscoe,2007-11-27,5700.0,1
N33A1,Gentoo,Anvers,Biscoe,2007-11-18,5400.0,1
N33A2,Gentoo,Anvers,Biscoe,2007-11-18,4550.0,3
N34A1,Gentoo,Anvers,Biscoe,2007-11-27,4800.0,1
N34A2,Gentoo,Anvers,Biscoe,2007-11-27,5200.0,3
N35A1,Gentoo,Anvers,Biscoe,2007-11-27,4400.0,3
N35A2,Gentoo,Anvers,Biscoe,2007-11-27,5150.0,2
N36A1,Gentoo,Anvers,Biscoe,2007-11-27,4650.0,2
N36A2,Gentoo,Anvers,Biscoe,2007-11-27,5550.0,1
N37A1,Gentoo,Anvers,Biscoe,2007-11-29,4650.0,2
N37A2,Gentoo,Anvers,Biscoe,2007-11-29,5850.0,3
N38A1,Gentoo,Anvers,Biscoe,2007-12-03,4200.0,2
N38A2,Gentoo,Anvers,Biscoe,2007-12-03,5850.0,3
N39A1,Gentoo,Anvers,Biscoe,2007-11-27,4150.0,2
N39A2,Gentoo,Anvers,Biscoe,2007-11-27,6300.0,3
N40A1,Gentoo,Anvers,Biscoe,2007-11-27,4800.0,3
N40A2,Gentoo,Anvers,Biscoe,2007-11-27,5350.0,1
N41A1,Gentoo,Anvers,Biscoe,2007-11-27,5700.0,1
N41A2,Gentoo,Anvers,Biscoe,2007-11-27,5000.0,1
N42A1,Gentoo,Anvers,Biscoe,2007-11-27,4400.0,3
N42A2,Gentoo,Anvers,Biscoe,2007-11-27,5050.0,1
N44A1,Gentoo,Anvers,Biscoe,2007-11-29,5000.0,3
N44A2,Gentoo,Anvers,Biscoe,2007-11-29,5100.0,1
N46A1,Gentoo,Anvers,Biscoe,2007-11-29,4100.0,3
N46A2,Gentoo,Anvers,Biscoe,2007-11-29,5650.0,3
N47A1,Gentoo,Anvers,Biscoe,2007-11-29,4600.0,2
N47A2,Gentoo,Anvers,Biscoe,2007-11-29,5550.0,1
N50A1,Gentoo,Anvers,Biscoe,2007-11-29,5250.0,2
N50A2,Gentoo,Anvers,Biscoe,2007-11-29,4700.0,1
N56A1,Gentoo,Anvers,Biscoe,2007-12-03,5050.0,3
N56A2,Gentoo,Anvers,Biscoe,2007-12-03,6050.0,1
